,tweet_id,timestamp,text,expanded_urls,rating_of_10,name,age,jpg_url,num_of_img,prediction1,prediction2,prediction3,retweet_count,favorite_count,language
0,666020888022790149,2015-11-15 22:32:08+00:00,Here we have a Japanese Irish Setter. Lost eye in Vietnam (?). Big fan of relaxing on stair. 8/10 would pet https://t.co/BLDqew2Ijj,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,532,2535,en
1,666029285002620928,2015-11-15 23:05:30+00:00,This is a western brown Mitsubishi terrier. Upset about leaf. Actually 2 dogs here. 7/10 would walk the shit out of https://t.co/r7mOb2m0UI,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,48,132,en
2,666033412701032449,2015-11-15 23:21:54+00:00,Here is a very happy pup. Big fan of well-maintained decks. Just look at that tongue. 9/10 would cuddle af https://t.co/y671yMhoiR,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,47,128,en
3,666044226329800704,2015-11-16 00:04:52+00:00,This is a purebred Piers Morgan. Loves to Netflix and chill. Always looks like he forgot to unplug the iron. 6/10 https://t.co/DWnyCjf2mx,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,147,311,en
4,666049248165822465,2015-11-16 00:24:50+00:00,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,41,111,en
5,666050758794694657,2015-11-16 00:30:50+00:00,This is a truly beautiful English Wilson Staff retriever. Has a nice phone. Privileged. 10/10 would trade lives with https://t.co/fvIbQfHjIe,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,60,136,en
6,666051853826850816,2015-11-16 00:35:11+00:00,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,879,1253,en
7,666055525042405380,2015-11-16 00:49:46+00:00,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,261,448,en
8,666057090499244032,2015-11-16 00:55:59+00:00,My oh my. This is a rare blond Canadian terrier on wheels. Only $8.98. Rather docile. 9/10 very rare https://t.co/yWBqbrzy8O,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,146,304,en
9,666058600524156928,2015-11-16 01:01:59+00:00,Here is the Rand Paul of retrievers folks! He's probably good at poker. Can drink beer (lol rad). 8/10 good dog https://t.co/pYAJkAe76p,unknown,9,unknown,__,no url given,1,not provided,not provided,not provided,61,115,en
